Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,Inoculum description,DT50,log(DT50),Innoculum,StudyT,logfoc,logWSratio,log_Tdose,log_Dose,Disp,bond:C#N_nitrile_generic,bond:C#N_nitrile,bond:CN_amine_aliphatic_generic,bond:CS_sulfide_dialkyl,bond:CS_sulfide,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_cyclopentadiene,chain:alkeneCyclic_ethene_C_(connect_noZ),chain:alkeneLinear_mono-ene_ehtylene_terminal,chain:alkeneLinear_mono-ene_ethylene_generic,chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[5_6]_indane,ring:fused_[6_6]_naphthalene,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_N_pyrrole,ring:hetero_[5]_N_pyrrole_generic,ring:hetero_[5]_N_S_thiazole,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1_3-Z,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_N_indole,ring:hetero_[5_6]_N_S_benzothiazole_(1_3-),ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6]_N_pyrazine,ring:hetero_[6]_N_pyridine,ring:hetero_[6]_N_pyridine_generic,ring:hetero_[6]_Z_1-,ring:hetero_[6]_Z_1_4-,ring:hetero_[6]_Z_generic,ring:hetero_[6_5_6]_N_carbazole,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,ring:hetero_[6_6]_N_isoquinoline,ring:hetero_[6_6]_N_quinoline,ring:hetero_[6_6]_N_quinoxaline,ring:hetero_[6_6]_Z_generic,ring:hetero_[6_6_6]_N_acridine,Compartment assignment,Matrix location,Approximate location coordinates,Matrix collection Temperature (oC),abs(diff(T)),Matrix storage,Study system,Study matrix volume (L),Matrix Organic Carbon Content (%),pH,Study moisture content (%),Study Sediment:Water ratio,Study Agitation,Study Agitation description,Study Aeration,Study Aeration description,Study duration (d),Study controls,Abiotic control type,Test substance type,Test substance description,Test substance physical form,Test substance dosing stratgy,Total hydrocarbon dose (ppm),Initial test substance concentration (ppm),Final test substance concentration (ppm),Kinetics used,R2 (if applicable),Lag (d),Rate (d-1),Halflife (d),Study reference,Study comments,Other comments,Soil classification,Non standard inoculum,pH,Organic carbon,Sampling and storage,"Nutrient supplemenation (N,P)",Non-routine experimental setup,Soil moisture,Soil aeration,Water:Sediment ratio,Sediment agitation and aeration,Light regime,Test substance concentration,"Mixtures, crudes or petroleum products",Temperature,Inoculum,Test system,Flags,Total relevance (Inoculum + Test system ave),HL_bhcw,logHL_bhcw
74,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,River Sediment and brakish water,1.367474216,0.135919146,Brackish,23,,2.301029996,,0.068185862,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Escambia river, FL, USA  ",,,N.D.,Slurry stirred overnight at room temperature,"Open microcosm in 1L 1-liter, straight-sided, glass bottles",0.5,,,,200,Yes,"Rotary shaker, 75 rpm",Yes,Open microcosm,7,Abiotic control,Extended autoclave and HgCl2,Synthetic mixture,Includes BTEX and short chain alkanes,Liquid,Water soluble fraction prepared and added to microcosm,,1.17,0.09,First order rate constant,0.84,,0.506773723,1.367474216,Spain 1983,,,N/A,N ,L,L,H,H,N ,N/A,N/A,L,L,L,M,M,H,2.0,1.7,0,1.8,8.889,0.9489
75,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,Marine sediment and seawater (1600m deep),10.7,1.027735311,Marine,4,,-0.026872146,2.301029996,0.698970004,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.012,,,,0.94,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and Corexit and added to test,200,5,0.0000,First order rate constant,,,0.0650,10.7,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,8.889,0.9489
76,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,Marine sediment and seawater (1600m deep),11.5,1.062215646,Marine,4,,0.361727836,2.301029996,0.698970004,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.020,,,,2.3,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and Corexit and added to test,200,5,0.0000,First order rate constant,,,0.0601,11.5,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,8.889,0.9489
77,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,Marine sediment and seawater (1600m deep),9.6,0.981572127,Marine,4,,0.361727836,2.301029996,0.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.020,,,,2.3,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and added to test,200,5,0.0000,First order rate constant,,,0.0723,9.6,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,8.889,0.9489
78,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,River Sediment and brakish water,28.875,1.460521993,Brackish,23,,2.301029996,,0.982271233,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Range Point, FL, USA  ",,,N.D.,Slurry stirred overnight at room temperature,Open microcosm in 150 ml milk dilution bottles,0.05,,,,200,No,,Yes,Open microcosm,7,Abiotic control,Extended autoclave and HgCl2,Fuel oil ,JP-4 ,Liquid,Added directly to surface of water (film formed),,9.6,3.53,First order rate constant,0.89,,0.024,28.875,Spain 1983,,,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,L,M,M,H,2.0,2.0,0,2.0,8.889,0.9489
79,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,River Sediment and brakish water,28.875,1.460521993,Brackish,23,,2.301029996,,1.551449998,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Bayou Chico, FL, USA  ",,,N.D.,Slurry stirred overnight at room temperature,Open microcosm in 150 ml milk dilution bottles,0.05,,,,200,No,,Yes,Open microcosm,7,Abiotic control,Extended autoclave and HgCl2,Fuel oil ,JP-4 ,Liquid,Added directly to surface of water (film formed),,35.6,10.33,First order rate constant,0.85,,0.024,28.875,Spain 1983,,,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,L,M,M,H,2.0,2.0,0,2.0,8.889,0.9489
80,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,River Sediment and brakish water,14.4375,1.159491997,Brackish,23,,2.301029996,,1.590284404,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Escambia river, FL, USA  ",,,N.D.,Slurry stirred overnight at room temperature,Open microcosm in 150 ml milk dilution bottles,0.05,,,,200,No,,Yes,Open microcosm,7,Abiotic control,Extended autoclave and HgCl2,Fuel oil ,JP-4 ,Liquid,Added directly to surface of water (film formed),,38.93,4.57,First order rate constant,0.90,,0.048,14.4375,Spain 1983,,,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,L,M,M,H,2.0,2.0,0,2.0,8.889,0.9489
81,2-Methylphenanthrene,PAH,15,2531-84-2,Cc1ccc2c(ccc3ccccc23)c1,Marine sediment and seawater (1600m deep),16.5,1.216177008,Marine,4,,-0.026872146,2.301029996,0.698970004,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.012,,,,0.94,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and Corexit and added to test,200,5,0.0000,First order rate constant,,,0.0421,16.5,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,23.93,1.379
82,2-Methylphenanthrene,PAH,15,2531-84-2,Cc1ccc2c(ccc3ccccc23)c1,Marine sediment and seawater (1600m deep),29.0,1.462358336,Marine,4,,0.361727836,2.301029996,0.698970004,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.020,,,,2.3,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and Corexit and added to test,200,5,0.0000,First order rate constant,,,0.0239,29.0,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,23.93,1.379
83,2-Methylphenanthrene,PAH,15,2531-84-2,Cc1ccc2c(ccc3ccccc23)c1,Marine sediment and seawater (1600m deep),32.4,1.510987884,Marine,4,,0.361727836,2.301029996,0.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.020,,,,2.3,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and added to test,200,5,0.0000,First order rate constant,,,0.0214,32.4,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,23.93,1.379
84,2-Methylquinoline,Het,8,91-63-4,Cc1ccc2ccccc2n1,Sandy sediment and sterile artifical seawater,174,2.240549248,Marine,24,,0.903089987,3,1.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with teflon cap,0.04,,,,8,No,Static,Yes,Aerated when sampling,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,50,27.69655172,First order rate constant,,,0.004,174,Catallo 1996,,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,H,L,M,M,H,2.0,2.2,0,2.1,-99,-99
85,2-Methylquinoline,Het,9,91-63-4,Cc1ccc2ccccc2n1,Sandy sediment and sterile artifical seawater,111.8,2.048341545,Marine,24,,0.903089987,3,1.716003344,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with various entry/exit ports,0.04,,,,8,Yes,Magnetic stirrer,Yes,Well oxidized (+150 mV) conditions maintained,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,52,15.8912,First order rate constant,0.0087,,0.006,111.8,Catallo 1996,System equilibrated for 7 days before start of experiment,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,L,L,M,M,H,2.0,1.8,0,1.9,-99,-99
86,2-Methylquinoline,Het,10,91-63-4,Cc1ccc2ccccc2n1,Clay sediment and sterile artifical seawater,10.0,1.001255187,Marine,24,,0.903089987,3,1.681241237,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with various entry/exit ports,0.04,,,,8,Yes,Magnetic stirrer,Yes,Well oxidized (+150 mV) conditions maintained,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,48,0,First order rate constant,0.8479,,0.069,10.0,Catallo 1996,System equilibrated for 7 days before start of experiment,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,L,L,M,M,H,2.0,1.8,0,1.9,-99,-99
87,3-Methylphenanthrene,PAH,15,832-71-3,Cc1ccc2ccc3ccccc3c2c1,Marine sediment and seawater (1600m deep),15.2,1.183023998,Marine,4,,-0.026872146,2.301029996,0.698970004,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.012,,,,0.94,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and Corexit and added to test,200,5,0.0000,First order rate constant,,,0.0455,15.2,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,23.93,1.379
88,3-Methylphenanthrene,PAH,15,832-71-3,Cc1ccc2ccc3ccccc3c2c1,Marine sediment and seawater (1600m deep),26.4,1.421970575,Marine,4,,0.361727836,2.301029996,0.698970004,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.020,,,,2.3,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and Corexit and added to test,200,5,0.0000,First order rate constant,,,0.0262,26.4,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,23.93,1.379
89,3-Methylphenanthrene,PAH,15,832-71-3,Cc1ccc2ccc3ccccc3c2c1,Marine sediment and seawater (1600m deep),25.9,1.413666412,Marine,4,,0.361727836,2.301029996,0.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Gulf of Mexico, USA","28.6381°N, 88.5192 °W",4.4,0.4,"No storage, experiment initiated after matrix collected",Closed microcosm. 0.06L wide mouth amber jars with teflon lined screw caps,0.020,,,,2.3,No,,Yes,Passive aeration during sampling. No information on oxygen level,180,Sealed vessel. Abiotic losses found to be insignificant ,,Crude oil,Light Louisiana sweet crude ,Liquid,Premixed in seawater and added to test,200,5,0.0000,First order rate constant,,,0.0267,25.9,Bacosa 2018,"Matrix collected in 2013, 17km from Deepwater Horizon blowout. ",Starting concentration of constituents determined by dividing to total dose by number of measured constituents. Likely to be significantly lower,N/A,N ,L,L,H,H,N ,N/A,N/A,L,H,H,M,M,L,2.0,2.0,0,2.0,23.93,1.379
90,3-Methylquinoline,Het,10,612-58-8,Cc1cnc2ccccc2c1,Sandy sediment and sterile artifical seawater,33.6,1.526866014,Marine,24,,0.903089987,3,1.662757832,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with various entry/exit ports,0.04,,,,8,Yes,Magnetic stirrer,Yes,Well oxidized (+150 mV) conditions maintained,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,46,0,First order rate constant,0.8783,,0.021,33.6,Catallo 1996,System equilibrated for 7 days before start of experiment,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,L,L,M,M,H,2.0,1.8,0,1.9,-99,-99
91,3-Methylquinoline,Het,10,612-58-8,Cc1cnc2ccccc2c1,Sandy sediment and sterile artifical seawater,130,2.113943352,Marine,24,,0.903089987,3,1.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with teflon cap,0.04,,,,8,No,Static,Yes,Aerated when sampling,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,50,20.14769231,First order rate constant,,,0.005,130,Catallo 1996,,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,H,L,M,M,H,2.0,2.2,0,2.1,-99,-99
92,4-Methylquinoline,Het,10,491-35-0,Cc1ccnc2ccccc12,Sandy sediment and sterile artifical seawater,16.4,1.214392867,Marine,24,,0.903089987,3,1.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with various entry/exit ports,0.04,,,,8,Yes,Magnetic stirrer,Yes,Well oxidized (+150 mV) conditions maintained,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,50,0,First order rate constant,0.7961,,0.042,16.4,Catallo 1996,System equilibrated for 7 days before start of experiment,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,L,L,M,M,H,2.0,1.8,0,1.9,-99,-99
93,4-Methylquinoline,Het,10,491-35-0,Cc1ccnc2ccccc12,Clay sediment and sterile artifical seawater,42.5,1.62854563,Marine,24,,0.903089987,3,1.748188027,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with various entry/exit ports,0.04,,,,8,Yes,Magnetic stirrer,Yes,Well oxidized (+150 mV) conditions maintained,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,56,0,First order rate constant,0.9605,,0.016,42.5,Catallo 1996,System equilibrated for 7 days before start of experiment,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,L,L,M,M,H,2.0,1.8,0,1.9,-99,-99
94,4-methylquinoline ,Het,10,491-35-0,Cc1ccnc2ccccc12,Sandy sediment and sterile artifical seawater,130,2.113943352,Marine,24,,0.903089987,3,1.698970004,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Sediment,"Bay St. Louis estuary, MS, USA",30.347°N 89.317°W,,N.D.,,Closed microcosm in glass vessel with teflon cap,0.04,,,,8,No,Static,Yes,Aerated when sampling,112,Abiotic control,Extended Autoclave,Synthetic mixture,,Solid,Dissolved in solvent (acetone) and mixed in sediment for 24 hours,1000,50,20.14769231,First order rate constant,,,0.005,130,Catallo 1996,,"Salinity of seawater 15g/L. Dried, ground Spartina added to each sediment at 5%w/w",N/A,N ,H,L,H,L,N ,N/A,N/A,M,H,L,M,M,H,2.0,2.2,0,2.1,-99,-99
